video_id,title,views,tags,channel_name,subscribers,search_query,thumbnail_url,duration_seconds,thumbnail_path
6hl6sMuc0NA,*free for profit* 2hollis type beat - *headlock*,33109,2hollis|2hollis safety|2hollis type beat|2hollis type beat free|As Within So Without|beat|bladee type beat|club type beat|drain gang|ecco2k type beat|ericdoa type beat|free 2hollis type beat|free type beat|freestyle type beat|god type beat|hard type beat|house type beat|joalisho|mage 1|meta|midwxst type beat|pop type beat|rap beat|sad 2hollis type beat|the jarl|trap beat|type beat|type beat free|white tiger|yung lean type beat,+fiftyzeros,5670,2hollis type beat,https://i.ytimg.com/vi/6hl6sMuc0NA/maxresdefault.jpg,58,thumbnails\6hl6sMuc0NA.jpg
qY-Z0OMW1jU,"[FREE] 2hollis Type Beat x nate sib Type Beat - ""In the flash""",13494,2hollis type beat|nate sib type beat|2hollis x hard dance type beat|2hollis type beat free|ken carson type beat|opium type beat|rage type beat|punk type beat|ken carson type beat free|ken carson type beat hard|ken carson beat|osamason type beat|2hollis trauma type beat|2hollis free type beat|nettspend type beat|free nate sib type beat|hyperpop type beat,Klimlords Beats,33900,2hollis type beat,https://i.ytimg.com/vi/qY-Z0OMW1jU/maxresdefault.jpg,118,thumbnails\qY-Z0OMW1jU.jpg
OE2O3eACJ50,*free for profit* 2hollis type beat - *challenge*,76142,2hollis|2hollis safety|2hollis type beat|2hollis type beat free|As Within So Without|beat|bladee type beat|club type beat|drain gang|ecco2k type beat|ericdoa type beat|free 2hollis type beat|free type beat|freestyle type beat|god type beat|hard type beat|house type beat|joalisho|mage 1|meta|midwxst type beat|pop type beat|rap beat|sad 2hollis type beat|the jarl|trap beat|type beat|type beat free|white tiger|yung lean type beat,+fiftyzeros,5670,2hollis type beat,https://i.ytimg.com/vi/OE2O3eACJ50/maxresdefault.jpg,131,thumbnails\OE2O3eACJ50.jpg
_IhTbk5EyfI,[SOLD] BETTER LIFE WITH 2HOLLIS TYPE BEAT,4457,2hollis|2hollis dance type beat|2hollis type beat|bladee type beat|damon r|damon r type beat|ecco2k type beat|famous type beat|free 2hollis type beat|free nate sib famous type beat|free type beat|gab3 type beat|god type beat|hard dance type beat|hard type beat|hardstyle type beat|hyperpop type beat|joalisho|kimj type beat|nate sib|nate sib famous|nate sib type beat|star boy type beat|starboy type beat|the hellp type beat|type beat|type beat free,joalisho,4380,2hollis type beat,https://i.ytimg.com/vi/_IhTbk5EyfI/maxresdefault.jpg,125,thumbnails\_IhTbk5EyfI.jpg
MLp_JOExg5c,*free for profit* 2hollis type beat - *ahhh*,7818,2hollis|2hollis safety|2hollis type beat|2hollis type beat free|As Within So Without|beat|bladee type beat|club type beat|drain gang|ecco2k type beat|ericdoa type beat|free 2hollis type beat|free type beat|freestyle type beat|god type beat|hard type beat|house type beat|joalisho|mage 1|meta|midwxst type beat|pop type beat|rap beat|sad 2hollis type beat|the jarl|trap beat|type beat|type beat free|white tiger|yung lean type beat,+fiftyzeros,5670,2hollis type beat,https://i.ytimg.com/vi/MLp_JOExg5c/maxresdefault.jpg,82,thumbnails\MLp_JOExg5c.jpg
_NmsFisznPY,"[FREE] 2hollis Type Beat x nate sib Type Beat - ""Gates""",8726,2hollis type beat|nate sib type beat|2hollis x hard dance type beat|2hollis type beat free|ken carson type beat|opium type beat|rage type beat|punk type beat|ken carson type beat free|ken carson type beat hard|ken carson beat|osamason type beat|2hollis trauma type beat|2hollis free type beat|nettspend type beat|free nate sib type beat|hyperpop type beat,Klimlords Beats,33900,2hollis type beat,https://i.ytimg.com/vi/_NmsFisznPY/maxresdefault.jpg,125,thumbnails\_NmsFisznPY.jpg
kbWXPceepu4,How To Make a 2hollis Type Beat,39649,,Snapp Makes Beats,128000,2hollis type beat,https://i.ytimg.com/vi/kbWXPceepu4/maxresdefault.jpg,348,thumbnails\kbWXPceepu4.jpg
SOYwMMdlGdg,[SOLD] ONE TURN TWO WITH 2HOLLIS TYPE BEAT,11649,2hollis type beat|free 2hollis type beat|2hollis dance type beat|2hollis|hard type beat|type beat free|star boy type beat|type beat|nate sib type beat|hard dance type beat|nate sib|free nate sib famous type beat|god type beat|free type beat|ecco2k type beat|joalisho|nate sib famous|starboy type beat|bladee type beat|famous type beat|damon r type beat|damon r|gab3 type beat|hyperpop type beat|hardstyle type beat|kimj type beat|the hellp type beat,joalisho,4380,2hollis type beat,https://i.ytimg.com/vi/SOYwMMdlGdg/maxresdefault.jpg,155,thumbnails\SOYwMMdlGdg.jpg
yaLVwZbVNT8,2HOLLIS STAR BOY KEN CARSON TYPE BEAT,4496,2hollis|2hollis type beat|2hollis type beat free|As Within So Without|bladee type beat|club type beat|free 2hollis type beat|free type beat|god type beat|hard type beat|house type beat|mage 1|midwxst type beat|pop type beat|sad 2hollis type beat|the jarl|trap beat|type beat free|white tiger|dollatega|2hollis jeans|free for profit|star boy type beat|ken carson|ken carson type beat|gold 2hollis|2hollis crush|2hollis star|2hollis new album,dollatega,4800,2hollis type beat,https://i.ytimg.com/vi/yaLVwZbVNT8/maxresdefault.jpg,111,thumbnails\yaLVwZbVNT8.jpg
4gM2fECfd44,[SOLD] STYLING LIKE A STAR WITH 2HOLLIS TYPE BEAT,7552,2hollis type beat|free 2hollis type beat|2hollis dance type beat|2hollis|hard type beat|type beat free|star boy type beat|type beat|nate sib type beat|hard dance type beat|nate sib|free nate sib famous type beat|god type beat|free type beat|ecco2k type beat|joalisho|nate sib famous|starboy type beat|bladee type beat|famous type beat|damon r type beat|damon r|gab3 type beat|hyperpop type beat|hardstyle type beat|kimj type beat|the hellp type beat,joalisho,4380,2hollis type beat,https://i.ytimg.com/vi/4gM2fECfd44/maxresdefault.jpg,115,thumbnails\4gM2fECfd44.jpg
