video_id,title,views,tags,channel_name,subscribers,search_query,thumbnail_url,duration_seconds,thumbnail_path,search_volume
3EU7Xq0BNd8,MOVE TO 2O25 WITH 2HOLLIS TYPE BEAT,7989,2hollis|2hollis dance type beat|2hollis safety|2hollis type beat|2hollis type beat free|bladee type beat|club type beat|ecco2k type beat|ericdoa type beat|free 2hollis type beat|free type beat|god type beat|hard dance|hard type beat|hardstyle|hardstyle type beat|house type beat|hyperpop type beat|joalisho|midwxst type beat|pop type beat|sad 2hollis type beat|star boy type beat|star boy x 2hollis type beat|starboy type beat|type beat|type beat free,joalisho,4380,2hollis type beat,https://i.ytimg.com/vi/3EU7Xq0BNd8/maxresdefault.jpg,145,thumbnails\3EU7Xq0BNd8.jpg,11237409.0
3EU7Xq0BNd8,MOVE TO 2O25 WITH 2HOLLIS TYPE BEAT,7989,2hollis|2hollis dance type beat|2hollis safety|2hollis type beat|2hollis type beat free|bladee type beat|club type beat|ecco2k type beat|ericdoa type beat|free 2hollis type beat|free type beat|god type beat|hard dance|hard type beat|hardstyle|hardstyle type beat|house type beat|hyperpop type beat|joalisho|midwxst type beat|pop type beat|sad 2hollis type beat|star boy type beat|star boy x 2hollis type beat|starboy type beat|type beat|type beat free,joalisho,4380,2hollis type beat,https://i.ytimg.com/vi/3EU7Xq0BNd8/maxresdefault.jpg,145,thumbnails\3EU7Xq0BNd8.jpg,11237409.0
42nwH9679BI,"{free} 2hollis type beat x ken carson - ""2""",7968,2hollis type beat|star boy type beat|free 2hollis type beat|2hollis|2hollis type beat free|starboy type beat|hard type beat|2 hollis type beat|hard dance type beat|5ivestarz type beat|snow strippers type beat|jeans type beat|the jarl|digicore type beat|damon r type beat|ian type beat|osamason type beat|ken carson type beat|opium type beat|destroy lonely type beat|nettspend type beat|2hollis type beat star|playboi carti type beat|2hollis star|selavy,sélavy,9670,2hollis type beat,https://i.ytimg.com/vi/42nwH9679BI/maxresdefault.jpg,128,thumbnails\42nwH9679BI.jpg,11237409.0
OxTLh0z6IIU,"2HOLLIS x STAR TYPE BEAT - ""STYLE""",7965,kanye west type beat|type beat|kanye west|experimental|rap|travis scott|instrumental|beat|sapjer|travis scott type beat|producer x|arcane beats|playboi carti|travis scott type beat hard|synth type beat|type beat travis scott|playboi carti type beat|type beat 2025|weeknd type beats|future type beats|playboi carti future type beat hard|type|hard|carti|trap type beat|i am music|type beat hard|2hollis|star|2hollis type beat|hyperpop|edm|jerk type beat,Morgan,14900,2hollis type beat,https://i.ytimg.com/vi/OxTLh0z6IIU/maxresdefault.jpg,161,thumbnails\OxTLh0z6IIU.jpg,11237409.0
OxTLh0z6IIU,"2HOLLIS x STAR TYPE BEAT - ""STYLE""",7965,kanye west type beat|type beat|kanye west|experimental|rap|travis scott|instrumental|beat|sapjer|travis scott type beat|producer x|arcane beats|playboi carti|travis scott type beat hard|synth type beat|type beat travis scott|playboi carti type beat|type beat 2025|weeknd type beats|future type beats|playboi carti future type beat hard|type|hard|carti|trap type beat|i am music|type beat hard|2hollis|star|2hollis type beat|hyperpop|edm|jerk type beat,Morgan,14900,2hollis type beat,https://i.ytimg.com/vi/OxTLh0z6IIU/maxresdefault.jpg,161,thumbnails\OxTLh0z6IIU.jpg,11237409.0
MLp_JOExg5c,*free for profit* 2hollis type beat - *ahhh*,7818,2hollis|2hollis safety|2hollis type beat|2hollis type beat free|As Within So Without|beat|bladee type beat|club type beat|drain gang|ecco2k type beat|ericdoa type beat|free 2hollis type beat|free type beat|freestyle type beat|god type beat|hard type beat|house type beat|joalisho|mage 1|meta|midwxst type beat|pop type beat|rap beat|sad 2hollis type beat|the jarl|trap beat|type beat|type beat free|white tiger|yung lean type beat,+fiftyzeros,5670,2hollis type beat,https://i.ytimg.com/vi/MLp_JOExg5c/maxresdefault.jpg,82,thumbnails\MLp_JOExg5c.jpg,11237409.0
CtCSJcraF54,SONATE POUR TOUS WITH NATE SIB TYPE BEAT,7759,2hollis type beat|free 2hollis type beat|2hollis dance type beat|2hollis|hard type beat|type beat free|star boy type beat|type beat|nate sib type beat|hard dance type beat|nate sib|free nate sib famous type beat|god type beat|free type beat|ecco2k type beat|joalisho|nate sib famous|starboy type beat|bladee type beat|famous type beat|damon r type beat|damon r|gab3 type beat|hyperpop type beat|hardstyle type beat|kimj type beat|the hellp type beat,joalisho,4380,nate sib type beat,https://i.ytimg.com/vi/CtCSJcraF54/maxresdefault.jpg,145,thumbnails\CtCSJcraF54.jpg,261955.0
4gM2fECfd44,[SOLD] STYLING LIKE A STAR WITH 2HOLLIS TYPE BEAT,7552,2hollis type beat|free 2hollis type beat|2hollis dance type beat|2hollis|hard type beat|type beat free|star boy type beat|type beat|nate sib type beat|hard dance type beat|nate sib|free nate sib famous type beat|god type beat|free type beat|ecco2k type beat|joalisho|nate sib famous|starboy type beat|bladee type beat|famous type beat|damon r type beat|damon r|gab3 type beat|hyperpop type beat|hardstyle type beat|kimj type beat|the hellp type beat,joalisho,4380,2hollis type beat,https://i.ytimg.com/vi/4gM2fECfd44/maxresdefault.jpg,115,thumbnails\4gM2fECfd44.jpg,11237409.0
Yg7Y9XecCik,"2HOLLIS X GOLD ""LIKE YOU"" TYPE BEAT [PROD.MTSSS]",7406,2hollis|2hollis dance type beat|2hollis type beat|2hollis type beat free|bladee type beat|club type beat|ecco2k type beat|ericdoa type beat|free 2hollis type beat|free type beat|god type beat|hard dance type beat|hard type beat|house type beat|ken carson type beat|midwxst type beat|mtsssprod|pop type beat|sad 2hollis type beat|star boy 2hollis type beat|star boy type beat|star boy x 2hollis type beat|starboy type beat|type beat free,makethatstefan,524,2hollis type beat,https://i.ytimg.com/vi/Yg7Y9XecCik/maxresdefault.jpg,120,thumbnails\Yg7Y9XecCik.jpg,11237409.0
_Swd8ihZoQQ,free nate sib + 2hollis + gunnr type beat thesame,7340,free 2hollis type beat|2hollis type beat free|nate sib type beat|2hollis type beat|2hollis dance type beat|star boy x 2hollis type beat|sad 2hollis type beat|type beat free|2hollis x hard dance type beat|free nate sib famous type beat|star boy type beat|star boy 2hollis type beat|hard type beat|nate sib famous type beat|type beat|pop type beat|club type beat|hard dance type beat|midwxst type beat|nate sib|ericdoa type beat|2hollis,tiresss / underrated club,5890,2hollis type beat,https://i.ytimg.com/vi/_Swd8ihZoQQ/maxresdefault.jpg,147,thumbnails\_Swd8ihZoQQ.jpg,11237409.0
WuyzZLvptBs,[not free] 2hollis + ian + shut it down type beat - 3 (anyproblems),7246,2hollis|2hollis dance type beat|2hollis safety|2hollis type beat|2hollis type beat free|bladee type beat|club type beat|ecco2k type beat|ericdoa type beat|free 2hollis type beat|free type beat|god type beat|hard type beat|house type beat|joalisho|ken carson type beat|midwxst type beat|pop type beat|sad 2hollis type beat|star boy type beat|star boy x 2hollis type beat|starboy type beat|type beat|type beat free|yung lean type beat,anyproblems ,4780,2hollis type beat,https://i.ytimg.com/vi/WuyzZLvptBs/maxresdefault.jpg,150,thumbnails\WuyzZLvptBs.jpg,11237409.0
WuyzZLvptBs,[not free] 2hollis + ian + shut it down type beat - 3 (anyproblems),7246,2hollis|2hollis dance type beat|2hollis safety|2hollis type beat|2hollis type beat free|bladee type beat|club type beat|ecco2k type beat|ericdoa type beat|free 2hollis type beat|free type beat|god type beat|hard type beat|house type beat|joalisho|ken carson type beat|midwxst type beat|pop type beat|sad 2hollis type beat|star boy type beat|star boy x 2hollis type beat|starboy type beat|type beat|type beat free|yung lean type beat,anyproblems ,4780,2hollis type beat,https://i.ytimg.com/vi/WuyzZLvptBs/maxresdefault.jpg,150,thumbnails\WuyzZLvptBs.jpg,11237409.0
DMuT3DSPCTM,"[FREE] 2hollis Type Beat - ""can't breathe""",7081,2hollis type beat|free 2hollis type beat|2hollis type beat free|2hollis type beat 2025|2hollis type beat free for profit|2hollis|2hollis 2025 type beat|type beat|type beat 2025|2hollis star type beat|star type beat|cant breathe type beat|2hollis type beat cant breathe|2hollis sidekick type beat|sidekick type beat|freestyle type beat|2hollis ken carson type beat|2hollis playboi carti type beat|2hollis rage type beat|rage type beat|prod astro|astro beats,Astro,25000,2hollis type beat,https://i.ytimg.com/vi/DMuT3DSPCTM/maxresdefault.jpg,123,thumbnails\DMuT3DSPCTM.jpg,11237409.0
yQ7IVl2iJh4,KISS IS ALL YOU NEED WITH 2HOLLIS TYPE BEAT,6992,2hollis|2hollis dance type beat|2hollis type beat|bladee type beat|damon r|damon r type beat|ecco2k type beat|famous type beat|free 2hollis type beat|free nate sib famous type beat|free type beat|gab3 type beat|god type beat|hard dance type beat|hard type beat|hardstyle type beat|hyperpop type beat|joalisho|kimj type beat|nate sib|nate sib famous|nate sib type beat|star boy type beat|starboy type beat|the hellp type beat|type beat|type beat free,joalisho,4380,2hollis type beat,https://i.ytimg.com/vi/yQ7IVl2iJh4/maxresdefault.jpg,130,thumbnails\yQ7IVl2iJh4.jpg,11237409.0
ReT8OxD5XnY,"[free] hyperpop x digicore type beat ""castelia"" (prod. homeboyjakob)",6974,hyperpop type beat|free hyperpop type beat|bladee type beat|ripsquad type beat|digicore type beat|digicore hyperpop type beat|homeboyjakob|free digicore type beat|yeat type beat|ken carson type beat 2024|yeat type beat 2024|rage type beat|2hollis type beat|2hollis|Ken Carson type beat|lil uzi vert type beat|free 2hollis type beat|starboy type beat|playboi carti type beat|free playboi carti type beat|ginseng|ginseng type beat|whitearmor type beat,homeboyjakob,3550,hyperpop type beat,https://i.ytimg.com/vi/ReT8OxD5XnY/maxresdefault.jpg,118,thumbnails\ReT8OxD5XnY.jpg,0.0
